업체 명부 번호,생산시작시기_유리사상체,생산계획량_유리사상체,생산량_유리사상체,육상시설 면적_유리사상체,해상 면적(가이식 시설)_유리사상체,종자생산방식_유리사상체_1,종자생산방식_유리사상체_2,종자생산방식_유리사상체_3,종자생산방식_유리사상체_4,종자생산방식_기타,국내_판매량_유리사상체,국내_판매금액_유리사상체,국내_생산시점_유리사상체,국내_판매방법_유리사상체_1,국내_판매방법_유리사상체_2,국내_판매방법_유리사상체_3,국내_판매처_유리사상체_1,국내_판매처_유리사상체_2,국내_판매처_유리사상체_3,국내_판매처_유리사상체_기타,국내_운송방법_유리사상체_1,국내_운송방법_유리사상체_2,국내_운송방법_유리사상체_3,국내_운송방법_유리사상체_기타,국내_판매_출하시기_유리사상체,해외_판매량_유리사상체,해외_판매금액_유리사상체,해외_생산시점_유리사상체,해외_판매_출하시기_유리사상체,자가활용현황 및 활용량_유리사상체,전체 폐사량_유리사상체,원인별폐사량_자연감모_유리사상체,원인별폐사량_질병_유리사상체,원인별폐사량_자연재해_유리사상체,원인별폐사량_외부사고_유리사상체,선별_폐기량 현황_유리사상체,냉_가온 여부_유리사상체,사육수온_유리사상체,모조 보유 현황_유리사상체,모조 구입현황_국내_수량_유리사상체,모조 구입현황_국내_구입금액_유리사상체,모조 구입현황_해외_수량_유리사상체,모조 구입현황_해외_구입금액_유리사상체,영양제 금액_유리사상체,기타 금액_유리사상체,영양제_공급안항_유리사상체,영양제 구입 합계_유리사상체,생산시작시기_해상채묘용 패각사상체,생산계획량_해상채묘용 패각사상체,생산량_해상채묘용 패각사상체,육상시설 면적_해상채묘용 패각사상체,해상 면적(가이식 시설)_해상채묘용 패각사상체,종자생산방식_해상채묘용_1,종자생산방식_해상채묘용_2,종자생산방식_해상채묘용_3,종자생산방식_해상채묘용_4,종자생산방식_해상채묘용_기타,국내_판매량_해상채묘용,국내_판매금액_해상채묘용,국내_생산시점_해상채묘용,국내_판매방법_해상채묘용_1,국내_판매방법_해상채묘용_2,국내_판매방법_해상채묘용_3,국내_판매처_해상채묘용_1,국내_판매처_해상채묘용_2,국내_판매처_해상채묘용_3,국내_판매처_해상채묘용_기타,국내_운송방법_해상채묘용_1,국내_운송방법_해상채묘용_2,국내_운송방법_해상채묘용_3,국내_운송방법_해상채묘용_기타,국내_판매_출하시기_해상채묘용,해외_판매량_해상채묘용,해외_판매금액_해상채묘용,해외_생산시점_해상채묘용,해외_판매_출하시기_해상채묘용,자가활용현황 및 활용량_해상채묘용,전체 폐사량_해상채묘용,원인별폐사량_자연감모_해상채묘용,원인별폐사량_질병_해상채묘용,원인별폐사량_자연재해_해상채묘용,원인별폐사량_외부사고_해상채묘용,선별_폐기량 현황_해상채묘용,냉_가온 여부_해상채묘용,사육수온_해상채묘용,모조 보유 현황_ 해상채묘용,모조 구입현황_국내_수량_해상채묘용,모조 구입현황_국내_구입금액_해상채묘용,모조 구입현황_해외_수량_해상채묘용,모조 구입현황_해외_구입금액_해상채묘용,영양제 금액_해상채묘용,기타 금액_해상채묘용,영양제_공급안항_해상채묘용,영양제 구입 합계_해상채묘용,생산시작시기_육상채묘용 패각사상체,생산계획량_육상채묘용 패각사상체_패,생산계획량_육상채묘용 패각사상체_책(김발),생산량_육상채묘용 패각사상체_패,생산량_육상채묘용 패각사상체_책(김발),육상시설 면적_육상채묘용 패각사상체,해상 면적(가이식 시설)_육상채묘용 패각사상체,종자생산방식_육상채묘용_1,종자생산방식_육상채묘용_2,종자생산방식_육상채묘용_3,종자생산방식_육상채묘용_4,종자생산방식_기타,국내_판매량_육상채묘용_패,판매량_육상채묘용_책(김발),국내_판매금액_육상채묘용,국내_생산시점_육상채묘용,국내_판매방법_육상채묘용_1,국내_판매방법_육상채묘용_2,국내_판매방법_육상채묘용_3,국내_판매처_육상채묘용_1,국내_판매처_육상채묘용_2,국내_판매처_육상채묘용_3,국내_판매처_육상채묘용_기타,국내_운송방법_육상채묘용_1,국내_운송방법_육상채묘용_2,국내_운송방법_육상채묘용_3,국내_운송방법_육상채묘용_기타,국내_판매_출하시기_육상채묘용,해외_판매량_육상채묘용_패,해외_판매량_육상채묘용_책(김발),해외_판매금액_육상채묘용,해외_생산시점_육상채묘용,해외_판매_출하시기_육상채묘용,자가활용현황 및 활용량_육상채묘용_패,자가활용현황 및 활용량_육상채묘용_책(김발),전체 폐사량_육상채묘용,원인별폐사량_자연감모_육상채묘용,원인별폐사량_질병_육상채묘용,원인별폐사량_자연재해_육상채묘용,원인별폐사량_외부사고_육상채묘용,선별_폐기량 현황_육상채묘용_패,선별_폐기량 현황_육상채묘용_책(김발),냉_가온 여부_육상채묘용,사육수온_육상채묘용,모조 보유 현황_ 육상채묘용,모조 구입현황_국내_수량_육상채묘용,모조 구입현황_국내_구입금액_육상채묘용,모조 구입현황_해외_수량_육상채묘용,모조 구입현황_해외_구입금액_육상채묘용,영양제 금액_육상채묘용,기타 금액_육상채묘용,영양제_공급안항_육상채묘용,영양제 구입 합계_육상채묘용,생산비_인건비,"생산비_모조(엽체), 유리 사상체 구입비",생산비_영양제 구입비,생산비_냉난방비,생산비_자재 구입비,생산비_약품비,생산비_위탁수수료,생산비_차량운반비,기타,생산비_기타,생산비_합계,향후 예정 생산량_유리사상체,향후 예정 생산량_해상채묘용,향후 예정 생산량_육상채묘용_패,향후 예정 생산량_육상채묘용_책(김발)
0178-07000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3,30000,29000,2300,해당없음,1,,,,,29000,11600,2,1,,,1,,,,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,3,0,3,0,0,해당없음,4,해당없음,10,10,50,해당없음,해당없음,해당없음,해당없음,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,1120,450,0,0,3200,200,0,150,기타,200,5320,해당없음,30000,해당없음,해당없음
0330-06000100,3,120,120,20,해당없음,1,,,,,120,240,1,1,,,1,,,,1,,,,3,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,100,0,0,100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,200,0,100,0,100,0,0,10,해수비,100,510,150,해당없음,해당없음,해당없음
0412-09000100,3,500,500,15,해당없음,6,,,,유리병,500,1500,1,1,,,1,,,,1,,,,7,0,0,7,해당없음,0,50,0,40,0,10,0,3,20,0,0,0,0,0,20,0,0,20,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,0,0,7,해당없음,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,0,0,0,0,0,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,0,0,0,7,해당없음,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,0,0,0,0,0,0,0,0,0,0,0,20,30,0,100,0,0,0,0,150,1000,해당없음,해당없음,해당없음
0413-09000100,해당없음,해당없음,해당없음,0,0,7,,,,,0,0,7,7,,,7,,,,7,,,,해당없음,0,0,7,해당없음,0,해당없음,해당없음,해당없음,해당없음,해당없음,0,7,해당없음,0,0,0,0,0,0,0,0,0,3,50000,50000,664,0,1,,,,,48000,19200,1,1,,,1,,,,1,,,,9,0,0,7,해당없음,0,5,5,0,0,0,2000,4,해당없음,0,0,0,0,0,300,0,0,300,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,7,,,,,0,0,0,7,7,,,7,,,,7,,,,해당없음,0,0,0,7,해당없음,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,7,해당없음,0,0,0,0,0,0,0,0,0,2100,1200,300,240,1800,150,0,500,운영비,200,6490,0,48000,0,0
0414-09000100,3,1000,1000,13,해당없음,6,,,,유리병,1000,2000,1,1,,,1,,,,1,,,,3,0,0,7,해당없음,0,5,0,5,0,0,200,3,20,0,0,0,0,0,100,0,0,100,해당없음,해당없음,해당없음,0,0,7,,,,,0,0,7,7,,,7,,,,7,,,,해당없음,0,0,7,해당없음,0,해당없음,해당없음,해당없음,해당없음,해당없음,0,7,해당없음,0,0,0,0,0,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,7,,,,,0,0,0,7,7,,,7,,,,7,,,,해당없음,0,0,0,7,해당없음,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,7,해당없음,0,0,0,0,0,0,0,0,0,0,0,100,150,100,30,0,0,운영비,60,440,1000,0,0,0
0415-09000100,3,8000,7000,6,0,6,,,,유리병,7000,14000,1,1,,,1,,,,1,,,,3,0,0,7,해당없음,0,20,0,20,0,0,200,3,20,0,0,0,0,0,100,0,0,100,해당없음,해당없음,해당없음,0,0,7,,,,,0,0,7,7,,,7,,,,7,,,,해당없음,0,0,7,해당없음,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,0,0,0,0,0,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,7,,,,,0,0,0,7,7,,,7,,,,7,,,,해당없음,0,0,0,7,해당없음,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,0,0,0,0,0,0,0,0,0,0,0,100,250,150,50,0,0,운영비,120,670,5000,0,0,0
0416-09000100,2,6000,5000,15,0,6,,,,유리병,3680,6800,1,1,,,1,,,,1,,,,3,0,0,7,해당없음,0,6,0,6,0,0,300,3,20,0,0,0,0,0,150,0,0,150,해당없음,해당없음,해당없음,0,0,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,0,0,7,해당없음,0,해당없음,해당없음,해당없음,해당없음,해당없음,0,7,해당없음,0,0,0,0,0,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,0,0,0,7,해당없음,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,7,해당없음,0,0,0,0,0,0,0,0,0,0,0,150,120,250,20,0,0,운영비,150,690,5000,0,0,0
0417-09000100,해당없음,해당없음,해당없음,0,0,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,0,0,0,0,0,0,0,0,0,3,10000,10000,1650,0,1,,,,,3000,1200,1,1,,,1,,,,1,,,,9,해당없음,해당없음,7,해당없음,7000,5,2,3,0,0,해당없음,4,해당없음,0,0,0,0,0,30,0,0,30,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,0,0,0,0,0,0,0,0,0,300,210,30,110,150,20,0,0,운영비,50,870,0,20000,0,0
0418-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,0,0,0,0,0,0,0,0,0,3,50000,48000,1582,해당없음,1,,,,,49000,19600,1,1,,,1,,,,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,2,0,1,1,0,1000,4,해당없음,0,0,0,0,0,400,0,0,400,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,0,0,0,0,0,0,0,0,0,2200,1000,400,210,2350,140,0,510,운영비,260,7070,0,50000,0,0
0646-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,300000,해당없음,300000,해당없음,330,해당없음,1,,,,,200000,해당없음,3000,1,1,,,1,,,,1,,,,9,해당없음,해당없음,해당없음,7,해당없음,100000,해당없음,5,5,0,0,0,해당없음,해당없음,4,해당없음,0.1,0.1,400,해당없음,해당없음,100,0,0,100,1100,400,100,110,900,0,0,0,운영비,50,2660,해당없음,해당없음,300000,해당없음
0664-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,20000,20000,462,해당없음,1,,,,,15000,6000,1,1,,,1,,,,1,,,,9,해당없음,해당없음,7,해당없음,5000,5,5,0,0,0,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,100,0,0,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,1410,400,100,20,700,0,0,150,운영비,100,2880,해당없음,20000,해당없음,해당없음
1150-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,10000000,2000000,해당없음,해당없음,1650,600000,1,,,,,1000000,200,500,1,1,,,3,,,어민,2,,,,11,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,20,0,10,10,0,해당없음,해당없음,3,18,해당없음,해당없음,해당없음,해당없음,해당없음,3000,0,0,3000,500,200,300,200,100,0,0,100,0,0,1400,해당없음,해당없음,100000,해당없음
1215-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,700000,무응답,700000,무응답,660,해당없음,1,,,,,700000,무응답,30000,1,1,,,1,,,,1,,,,9,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,무응답,무응답,2,24,해당없음,해당없음,해당없음,해당없음,해당없음,2000,0,0,2000,2000,250,2000,600,400,500,0,0,비용,2000,7750,해당없음,해당없음,700000,무응답
1222-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,7500,무응답,15833.33333,무응답,844,해당없음,1,,,,,15833.33333,무응답,3000,1,1,,,3,,,직접,1,,,,9,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3,19,해당없음,해당없음,해당없음,해당없음,해당없음,6,0,0,6,120,160,6,5,450,20,0,0,0,0,761,해당없음,해당없음,7500,무응답
1223-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,8000,무응답,8000,무응답,500,해당없음,1,,,,,8000,무응답,3000,1,1,,,3,,,직접,1,,,,9,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,50,0,0,50,300,100,50,0,100,10,0,0,0,0,560,해당없음,해당없음,8000,무응답
1224-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,8500,해당없음,15833.33333,해당없음,504,해당없음,1,,,,,15833.33333,무응답,3400,1,1,,,3,,,직접,1,,,,9,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3,21,해당없음,해당없음,해당없음,해당없음,해당없음,6,0,0,6,120,180,6,5,490,30,0,0,0,0,831,해당없음,해당없음,8500,무응답
1230-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,2100,무응답,15833.33333,무응답,839,해당없음,1,,,,,15833.33333,무응답,8400,1,1,,,3,,,직접,1,,,,9,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,3,19,해당없음,해당없음,해당없음,해당없음,해당없음,6,0,0,6,200,450,6,7,1300,40,0,30,0,0,2033,해당없음,해당없음,49000,무응답
