업체 명부 번호,생산시작시기_유리사상체,생산계획량_유리사상체,생산량_유리사상체,육상시설 면적_유리사상체,해상 면적(가이식 시설)_유리사상체,종자생산방식_유리사상체_1,종자생산방식_유리사상체_2,종자생산방식_유리사상체_3,종자생산방식_유리사상체_4,종자생산방식_기타,국내_판매량_유리사상체,국내_판매금액_유리사상체,국내_생산시점_유리사상체,국내_판매방법_유리사상체_1,국내_판매방법_유리사상체_2,국내_판매방법_유리사상체_3,국내_판매처_유리사상체_1,국내_판매처_유리사상체_2,국내_판매처_유리사상체_3,국내_판매처_유리사상체_기타,국내_운송방법_유리사상체_1,국내_운송방법_유리사상체_2,국내_운송방법_유리사상체_3,국내_운송방법_유리사상체_기타,국내_판매_출하시기_유리사상체,해외_판매량_유리사상체,해외_판매금액_유리사상체,해외_생산시점_유리사상체,해외_판매_출하시기_유리사상체,자가활용현황 및 활용량_유리사상체,전체 폐사량_유리사상체,원인별폐사량_자연감모_유리사상체,원인별폐사량_질병_유리사상체,원인별폐사량_자연재해_유리사상체,원인별폐사량_외부사고_유리사상체,선별_폐기량 현황_유리사상체,냉_가온 여부_유리사상체,사육수온_유리사상체,모조 보유 현황_유리사상체,모조 구입현황_국내_수량_유리사상체,모조 구입현황_국내_구입금액_유리사상체,모조 구입현황_해외_수량_유리사상체,모조 구입현황_해외_구입금액_유리사상체,영양제 금액_유리사상체,기타 금액_유리사상체,영양제_공급안항_유리사상체,영양제 구입 합계_유리사상체,생산시작시기_해상채묘용 패각사상체,생산계획량_해상채묘용 패각사상체,생산량_해상채묘용 패각사상체,육상시설 면적_해상채묘용 패각사상체,해상 면적(가이식 시설)_해상채묘용 패각사상체,종자생산방식_해상채묘용_1,종자생산방식_해상채묘용_2,종자생산방식_해상채묘용_3,종자생산방식_해상채묘용_4,종자생산방식_해상채묘용_기타,국내_판매량_해상채묘용,국내_판매금액_해상채묘용,국내_생산시점_해상채묘용,국내_판매방법_해상채묘용_1,국내_판매방법_해상채묘용_2,국내_판매방법_해상채묘용_3,국내_판매처_해상채묘용_1,국내_판매처_해상채묘용_2,국내_판매처_해상채묘용_3,국내_판매처_해상채묘용_기타,국내_운송방법_해상채묘용_1,국내_운송방법_해상채묘용_2,국내_운송방법_해상채묘용_3,국내_운송방법_해상채묘용_기타,국내_판매_출하시기_해상채묘용,해외_판매량_해상채묘용,해외_판매금액_해상채묘용,해외_생산시점_해상채묘용,해외_판매_출하시기_해상채묘용,자가활용현황 및 활용량_해상채묘용,전체 폐사량_해상채묘용,원인별폐사량_자연감모_해상채묘용,원인별폐사량_질병_해상채묘용,원인별폐사량_자연재해_해상채묘용,원인별폐사량_외부사고_해상채묘용,선별_폐기량 현황_해상채묘용,냉_가온 여부_해상채묘용,사육수온_해상채묘용,모조 보유 현황_ 해상채묘용,모조 구입현황_국내_수량_해상채묘용,모조 구입현황_국내_구입금액_해상채묘용,모조 구입현황_해외_수량_해상채묘용,모조 구입현황_해외_구입금액_해상채묘용,영양제 금액_해상채묘용,기타 금액_해상채묘용,영양제_공급안항_해상채묘용,영양제 구입 합계_해상채묘용,생산시작시기_육상채묘용 패각사상체,생산계획량_육상채묘용 패각사상체_패,생산계획량_육상채묘용 패각사상체_책(김발),생산량_육상채묘용 패각사상체_패,생산량_육상채묘용 패각사상체_책(김발),육상시설 면적_육상채묘용 패각사상체,해상 면적(가이식 시설)_육상채묘용 패각사상체,종자생산방식_육상채묘용_1,종자생산방식_육상채묘용_2,종자생산방식_육상채묘용_3,종자생산방식_육상채묘용_4,종자생산방식_기타,국내_판매량_육상채묘용_패,판매량_육상채묘용_책(김발),국내_판매금액_육상채묘용,국내_생산시점_육상채묘용,국내_판매방법_육상채묘용_1,국내_판매방법_육상채묘용_2,국내_판매방법_육상채묘용_3,국내_판매처_육상채묘용_1,국내_판매처_육상채묘용_2,국내_판매처_육상채묘용_3,국내_판매처_육상채묘용_기타,국내_운송방법_육상채묘용_1,국내_운송방법_육상채묘용_2,국내_운송방법_육상채묘용_3,국내_운송방법_육상채묘용_기타,국내_판매_출하시기_육상채묘용,해외_판매량_육상채묘용_패,해외_판매량_육상채묘용_책(김발),해외_판매금액_육상채묘용,해외_생산시점_육상채묘용,해외_판매_출하시기_육상채묘용,자가활용현황 및 활용량_육상채묘용_패,자가활용현황 및 활용량_육상채묘용_책(김발),전체 폐사량_육상채묘용,원인별폐사량_자연감모_육상채묘용,원인별폐사량_질병_육상채묘용,원인별폐사량_자연재해_육상채묘용,원인별폐사량_외부사고_육상채묘용,선별_폐기량 현황_육상채묘용_패,선별_폐기량 현황_육상채묘용_책(김발),냉_가온 여부_육상채묘용,사육수온_육상채묘용,모조 보유 현황_ 육상채묘용,모조 구입현황_국내_수량_육상채묘용,모조 구입현황_국내_구입금액_육상채묘용,모조 구입현황_해외_수량_육상채묘용,모조 구입현황_해외_구입금액_육상채묘용,영양제 금액_육상채묘용,기타 금액_육상채묘용,영양제_공급안항_육상채묘용,영양제 구입 합계_육상채묘용,생산비_인건비,"생산비_모조(엽체), 유리 사상체 구입비",생산비_영양제 구입비,생산비_냉난방비,생산비_자재 구입비,생산비_약품비,생산비_위탁수수료,생산비_차량운반비,기타,생산비_기타,생산비_합계,향후 예정 생산량_유리사상체,향후 예정 생산량_해상채묘용,향후 예정 생산량_육상채묘용_패,향후 예정 생산량_육상채묘용_책(김발)
1305-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,65000,65000,2667,해당없음,1,,,,,65000,26000,1,1,,,3,,,양식장,7,,,,9,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,100,0,0,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,644,1000,100,100,0,0,20,200,비용,4050,6114,해당없음,65000,해당없음,해당없음
1306-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,모름,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,8,모름,모름,모름,모름,해당없음,해당없음,0,0,0,0,3,50000,50000,2893,해당없음,7,,,,,40000,15000,1,1,,,3,,,직접,1,,,,9,해당없음,모름,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,8,모름,모름,모름,모름,해당없음,해당없음,100,0,0,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,모름,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,8,모름,모름,모름,모름,해당없음,해당없음,0,0,0,0,3500,500,50,0,300,0,0,400,0,0,4750,해당없음,50000,해당없음,해당없음
1308-09000100,3,35000,해당없음,460,해당없음,1,,,,,1228,14000,1,1,2,,3,,,직접,1,2,,,9,해당없음,해당없음,7,해당없음,해당없음,30,10,10,10,0,해당없음,7,해당없음,무응답,무응답,무응답,해당없음,해당없음,200,0,0,200,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,무응답,무응답,무응답,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,무응답,무응답,무응답,해당없음,해당없음,0,0,0,0,1000,1000,200,0,0,100,0,100,0,0,2400,해당없음,35000,해당없음,해당없음
1309-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,40000,40000,2000,해당없음,1,,,,,40000,16000,1,3,,,2,,,,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,2,0,0,0,2,10,4,해당없음,해당없음,3,해당없음,해당없음,해당없음,60,40,0,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,600,600,100,0,100,50,0,60,페각구입비,2200,3710,해당없음,38000,해당없음,해당없음
1311-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,100000,13000,861,해당없음,1,,,,,100000,50000,1,1,,,3,,,직접,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,20,10,10,0,0,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,200,0,0,200,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,5000,2000,200,200,15000,0,0,0,0,0,22400,해당없음,130000,해당없음,해당없음
1312-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,모름,모름,모름,해당없음,해당없음,0,0,0,0,3,130000,130000,모름,해당없음,1,,,,,130000,45000,1,1,,,3,,,직접,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,2,1,1,0,0,해당없음,4,해당없음,모름,모름,모름,해당없음,해당없음,300,0,0,300,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,모름,모름,모름,해당없음,해당없음,0,0,0,0,9000,2000,300,300,15000,100,0,3000,0,0,29700,해당없음,130000,해당없음,해당없음
1313-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,90000,90000,4300,해당없음,1,,,,,90000,36000,1,1,,,3,,,양식장,7,,,,9,해당없음,해당없음,7,해당없음,해당없음,5,0,2,3,0,5000,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,300,0,0,300,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,12880,1750,300,0,1000,500,0,1500,0,1000,18930,해당없음,90000,해당없음,해당없음
1317-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,50000,50000,289,해당없음,1,,,,,40000,15000,1,1,,,3,,,직접,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,8,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,100,0,0,100,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,2500,500,100,100,4000,200,0,500,0,0,7900,해당없음,40000,해당없음,해당없음
1319-09000100,해당없음,500,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,모름,모름,모름,해당없음,해당없음,0,0,0,0,3,120000,120000,9000,해당없음,1,,,,,120000,48000,1,1,,,2,,,,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,40,0,0,10,30,해당없음,3,20,모름,모름,모름,해당없음,해당없음,500,0,0,500,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,모름,모름,모름,해당없음,해당없음,0,0,0,0,1000,300,500,400,14000,300,0,600,0,0,17100,해당없음,120000,해당없음,해당없음
1323-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,50000,50000,3555,해당없음,1,,,,,50000,12000,2,1,,,2,,,,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,200,0,0,200,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,1200,900,200,0,100,200,0,200,패각,4000,6800,해당없음,50000,해당없음,해당없음
1325-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,9,200000,200000,10000,해당없음,1,,,,,200000,해당없음,1,1,,,3,,,양식장,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3500,2500,500,0,7500,100,0,0,패각,6000,20100,해당없음,200000,해당없음,해당없음
1326-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,100000,100000,799,해당없음,1,,,,,100000,해당없음,1,3,,,3,,,양식장,1,,,,10,해당없음,해당없음,7,해당없음,해당없음,2,0,2,0,0,2000,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,300,200,0,500,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,4000,50,500,50,150,0,0,750,패각,18000,23500,해당없음,100000,해당없음,해당없음
1332-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,30000,30000,21000,해당없음,1,,,,,30000,12000,1,1,,,2,,,,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,150,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,30,0,0,30,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,500,200,30,0,0,40,0,0,패각,1500,2270,해당없음,30000,해당없음,해당없음
1333-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,45000,45000,1602,해당없음,1,,,,,40000,1600,1,1,,,2,,,,1,,,,9,해당없음,해당없음,7,해당없음,500,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,150,0,150,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,1282,618,150,0,50,0,0,30,0,0,2130,해당없음,45000,해당없음,해당없음
1339-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,50,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,1000,해당없음,726,해당없음,7,,,,,해당없음,해당없음,1,1,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,20000,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,2000,100,해당없음,해당없음,726,4000,1,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,9,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,2000,해당없음,해당없음,해당없음,해당없음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,해당없음,해당없음,해당없음,해당없음
1603-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,5,20000,10000,1155,해당없음,1,,,,,10000,3800,1,1,,,2,,,,1,,,,10,해당없음,해당없음,7,해당없음,해당없음,20,0,10,10,0,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,400,150,0,20,3100,0,0,0,0,0,3670,해당없음,13000,해당없음,해당없음
1604-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,20000,20000,1650,해당없음,1,,,,,20000,8000,1,1,,,2,,,,1,,,,10,해당없음,해당없음,7,해당없음,해당없음,10,10,0,0,0,10,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,0,500,0,1200,1000,100,0,0,0,0,2800,해당없음,20000,해당없음,해당없음
1640-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,4,45000,45000,2970,해당없음,1,,,,,30000,11400,1,1,,,1,,,,1,,,,10,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,15000,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,800,0,0,800,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,4300,700,800,50,4700,700,0,0,0,0,11250,해당없음,30000,해당없음,해당없음
1719-09000100,3,2000,2000,3514,해당없음,1,,,,,500,1000,1,1,,,1,,,,1,,,,3,0,0,7,해당없음,1000,10,0,10,0,0,500,3,20,해당없음,해당없음,해당없음,해당없음,해당없음,100,0,0,100,4,40000,40000,3514,해당없음,1,,,,,25000,10000,1,1,,,3,,,양식어가,1,,,,9,해당없음,해당없음,7,해당없음,40000,10,0,10,0,0,2000,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,200,0,0,200,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3000,100,300,200,200,100,0,200,0,0,4100,500,25000,해당없음,해당없음
1869-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,80000,60000,3354,해당없음,1,,,,,60000,24000,1,1,,,3,,,김생산자,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,25,5,13,0,7,4,4,해당없음,50,50,100,해당없음,해당없음,200,0,0,200,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,2500,1000,200,0,200,0,0,200,공패각,6000,10100,해당없음,80000,해당없음,해당없음
2017-09000100,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,3,300000,300000,9584,해당없음,1,,,,,300000,120000,1,1,,,1,,,,1,,,,9,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,4,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,2000,1000,0,3000,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,,,,,해당없음,해당없음,해당없음,7,7,,,7,,,,7,,,,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,7,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,0,0,0,0,6150,4100,3000,0,2000,0,0,0,비용,500,15750,해당없음,300000,해당없음,해당없음
